Date,AAPL US Equity
8/15/2014,93.4298
8/16/2014,93.4298
8/17/2014,93.4298
8/18/2014,94.555
8/19/2014,95.8614
8/20/2014,95.8995
8/21/2014,95.909
8/22/2014,96.6147
8/23/2014,96.6147
8/24/2014,96.6147
8/25/2014,96.8244
8/26/2014,96.2037
8/27/2014,97.387
8/28/2014,97.5015
8/29/2014,97.7399
8/30/2014,97.7399
8/31/2014,97.7399
9/1/2014,97.7399
9/2/2014,98.5027
9/3/2014,94.3452
9/4/2014,93.5633
9/5/2014,94.3738
9/6/2014,94.3738
9/7/2014,94.3738
9/8/2014,93.7921
9/9/2014,93.4393
9/10/2014,96.3095
9/11/2014,96.7196
9/12/2014,96.9389
9/13/2014,96.9389
9/14/2014,96.9389
9/15/2014,96.9103
9/16/2014,96.176
9/17/2014,96.8626
9/18/2014,97.0628
9/19/2014,96.2714
9/20/2014,96.2714
9/21/2014,96.2714
9/22/2014,96.3667
9/23/2014,97.8734
9/24/2014,97.0247
9/25/2014,93.3249
9/26/2014,96.0711
9/27/2014,96.0711
9/28/2014,96.0711
9/29/2014,95.4609
9/30/2014,96.0711
10/1/2014,94.574
10/2/2014,95.2606
10/3/2014,94.9936
10/4/2014,94.9936
10/5/2014,94.9936
10/6/2014,94.9936
10/7/2014,94.164
10/8/2014,96.1188
10/9/2014,96.3286
10/10/2014,96.0521
10/11/2014,96.0521
10/12/2014,96.0521
10/13/2014,95.1748
10/14/2014,94.164
10/15/2014,93.0102
10/16/2014,91.7897
10/17/2014,93.1342
10/18/2014,93.1342
10/19/2014,93.1342
10/20/2014,95.1271
10/21/2014,97.7113
10/22/2014,98.2071
10/23/2014,99.9617
10/24/2014,100.3335
10/25/2014,100.3335
10/26/2014,100.3335
10/27/2014,100.2287
10/28/2014,101.783
10/29/2014,102.3551
10/30/2014,102.0118
10/31/2014,102.9844
11/1/2014,102.9844
11/2/2014,102.9844
11/3/2014,104.3194
11/4/2014,103.5566
11/5/2014,103.8045
11/6/2014,104.1014
11/7/2014,104.3983
11/8/2014,104.3983
11/9/2014,104.3983
11/10/2014,104.2259
11/11/2014,105.0591
11/12/2014,106.5435
11/13/2014,108.0471
11/14/2014,109.3496
11/15/2014,109.3496
11/16/2014,109.3496
11/17/2014,109.1676
